Line,Tag,Source,Path,Flags,File Number,Sequence Number,Size,Allocated Size,Creation Time,Modification Time,Access Time,Changed Time
478,Unchecked,Index Slack,/$Recycle.Bin/S-1-5-21-3945945446-439615100-1550422191-1001/$RN8JKS7.jj5/vs_installer.exe,ARCHIVE,0,0,202192,204800,2023-05-10T23:16:19.545520+00:00,2023-05-10T23:16:19.547514+00:00,2023-05-10T23:16:19.547514+00:00,2023-05-10T23:16:19.547514+00:00
2754,Unchecked,Index Slack,/Windows/write.exe,ARCHIVE,0,0,11264,12288,2019-12-07T09:52:00.029852+00:00,2019-12-06T21:29:00+00:00,2022-11-04T03:45:19.693688+00:00,2022-10-19T00:42:04.134116+00:00
3346,Unchecked,Index Slack,/Users/layne/AppData/Local/Temp/5wzz2z3x.0ae/vs_installer.exe,ARCHIVE,0,0,206240,208896,2023-05-25T18:22:48.380364+00:00,2023-05-25T18:22:48.382360+00:00,2023-05-25T18:22:48.382360+00:00,2023-05-25T18:22:48.382360+00:00
3363,Unchecked,Index Slack,/Windows/Fonts/FN.exe,ARCHIVE,0,0,620096,622592,2022-10-31T03:53:15.228244+00:00,2022-10-31T03:53:15.737630+00:00,2022-10-31T04:54:02.086980+00:00,2022-10-31T03:53:15.737630+00:00
4774,Unchecked,Index Slack,/Windows/Logs/wUi7x.exe,ARCHIVE,0,0,4447252,4448256,2022-10-29T00:48:06.579124+00:00,2022-10-29T00:48:06.580120+00:00,2022-10-29T00:48:06.580120+00:00,2022-10-29T00:48:06.580120+00:00
5137,Unchecked,Index Slack,/Windows/Microsoft.NET/Framework/v4.0.30319/RegAsm.exe,ARCHIVE,0,0,65440,65536,2019-12-07T09:10:47.461848+00:00,2019-12-07T09:10:47.461848+00:00,2019-12-07T09:10:47.461848+00:00,2022-10-19T04:09:08.474264+00:00
9173,Unchecked,Index Slack,/Windows/System32/bcdedit.exe,ARCHIVE,30008,1,490808,491520,2021-10-06T13:51:08.075788+00:00,2021-10-06T13:51:08.075788+00:00,2021-10-06T13:51:08.075788+00:00,2022-10-19T04:07:48.486590+00:00
9176,Unchecked,Index Slack,/Windows/System32/bitsadmin.exe,ARCHIVE,0,0,211456,212992,2019-12-07T09:08:46.049404+00:00,2019-12-07T09:08:46.049404+00:00,2023-04-24T02:19:46.278148+00:00,2023-04-13T22:22:28.122364+00:00
9177,Unchecked,Index Slack,/Windows/System32/bitsadmin.exe,ARCHIVE,0,0,211456,212992,2019-12-07T09:08:46.049404+00:00,2019-12-07T09:08:46.049404+00:00,2023-04-24T02:19:46.278148+00:00,2023-04-13T22:22:28.122364+00:00
9188,Unchecked,Index Slack,/Windows/System32/conhost.exe,ARCHIVE,30026,1,868864,872448,2021-10-06T13:51:55.204992+00:00,2021-10-06T13:51:55.220592+00:00,2021-10-06T13:51:55.220592+00:00,2022-10-19T04:07:48.486590+00:00
9190,Unchecked,Index Slack,/Windows/System32/convertvhd.exe,ARCHIVE,30028,1,229176,229376,2021-10-06T13:51:46.201118+00:00,2021-10-06T13:51:46.201118+00:00,2021-10-06T13:51:46.201118+00:00,2022-10-19T04:07:48.486590+00:00
9191,Unchecked,Index Slack,/Windows/System32/CredentialUIBroker.exe,ARCHIVE,30031,1,148272,151552,2021-10-06T13:52:00.814896+00:00,2021-10-06T13:52:00.814896+00:00,2021-10-06T13:52:00.814896+00:00,2022-10-19T04:07:48.486590+00:00
9211,Unchecked,Index Slack,/Windows/System32/find.exe,ARCHIVE,30082,1,17920,20480,2019-12-07T09:09:37.707866+00:00,2019-12-07T09:09:37.707866+00:00,2019-12-07T09:09:37.707866+00:00,2022-10-19T04:07:48.486590+00:00
9213,Unchecked,Index Slack,/Windows/System32/fixmapi.exe,ARCHIVE,30084,1,21504,24576,2021-10-06T13:51:15.497694+00:00,2021-10-06T13:51:15.497694+00:00,2021-10-06T13:51:15.497694+00:00,2022-10-19T04:07:48.486590+00:00
9215,Unchecked,Index Slack,/Windows/System32/fontdrvhost.exe,ARCHIVE,30090,1,830520,831488,2021-10-06T13:52:00.377430+00:00,2021-10-06T13:52:00.393068+00:00,2021-10-06T13:52:00.393068+00:00,2022-10-19T04:07:48.486590+00:00
